r,ct
2,0.928216
3,0.879612
4,0.839337
5,0.800433
6,0.76368
7,0.731831
8,0.700907
9,0.669857
10,0.640374
11,0.618593
12,0.598633
13,0.57305
14,0.555429
15,0.535858
16,0.518666
17,0.438605
18,0.40678
19,0.400833
20,0.393249
21,0.383671
22,0.374739
23,0.366605
24,0.35865
25,0.350274
26,0.343451
27,0.336975
28,0.330608
29,0.323014
30,0.31747
31,0.311229
32,0.306297
33,0.234252
