r,ct
1,42.671
2,23.494
3,16.884
4,13.74
5,11.754
6,10.394
7,9.621
8,8.97
9,8.303
10,7.885
11,7.539
12,7.324
13,7.006
14,6.719
15,6.578
16,7.617
17,7.853
18,7.533
19,7.377
20,7.307
21,7.091
22,6.93
23,6.791
24,6.711
25,6.613
26,6.572
27,6.547
28,6.376
29,6.305
30,6.184
31,7.724
32,9.484
