r,ct
1,18.874
2,11.365
3,7.601
4,7.552
5,7.559
6,7.58
7,7.537
8,7.561
9,7.544
10,7.588
11,7.605
12,7.603
13,7.537
14,8.081
15,7.572
16,8.421
17,8.601
18,9.104
19,9.251
20,9.473
21,9.686
22,9.986
23,10.046
24,10.038
25,10.075
26,10.112
27,10.118
28,10.182
29,10.122
30,10.099
31,11.392
32,12.315
