r,ct
1,30.17
2,15.082
3,11.323
4,8.833
5,7.654
6,7.624
7,7.74
8,7.814
9,7.722
10,7.674
11,7.688
12,7.694
13,7.589
14,7.89
15,7.748
16,8.625
17,9.385
18,9.633
19,9.947
20,10.241
21,10.105
22,10.32
23,10.062
24,10.141
25,10.223
26,10.211
27,10.233
28,10.216
29,10.264
30,10.423
31,11.812
32,13.244
