r,ct
3,0.492987
4,0.491368
5,0.49093
6,0.49267
7,0.489555
8,0.489732
9,0.489839
10,0.489378
11,0.487918
12,0.488672
13,0.48865
14,0.487204
15,0.486255
16,0.486585
17,0.326856
18,0.327572
19,0.292121
20,0.290553
21,0.289928
22,0.290733
23,0.288495
24,0.28965
25,0.288114
26,0.287012
27,0.287103
28,0.285793
29,0.288604
30,0.286051
31,0.287475
32,0.288117
33,0.18467
