r,ct
1,30.113
2,15.096
3,11.336
4,8.846
5,7.535
6,7.645
7,7.561
8,7.771
9,7.571
10,8.04
11,7.638
12,7.627
13,7.799
14,7.67
15,7.751
16,8.254
17,8.825
18,9.138
19,9.693
20,10.164
21,9.886
22,9.803
23,9.972
24,10.044
25,9.998
26,10.18
27,10.123
28,10.195
29,10.429
30,10.291
31,11.558
32,12.656
