r,ct
1,30.445
2,15.169
3,11.349
4,8.851
5,7.706
6,7.746
7,7.712
8,7.687
9,7.663
10,7.689
11,7.885
12,7.814
13,7.66
14,7.716
15,7.722
16,8.697
17,9.675
18,9.597
19,9.567
20,9.823
21,9.777
22,10.107
23,9.996
24,10.173
25,10.248
26,10.264
27,10.284
28,10.225
29,10.28
30,10.323
31,11.8
32,13.119
