r,ct
1,16.341
2,9.804
3,8.072
4,6.816
5,6.316
6,5.749
7,5.709
8,5.052
9,5.215
10,4.722
11,4.996
12,4.641
13,4.783
14,4.575
15,4.626
16,5.022
17,4.658
18,4.693
19,4.919
20,4.845
21,4.427
22,4.796
23,4.651
24,4.518
25,4.26
26,4.631
27,4.677
28,4.579
29,4.305
30,4.315
31,5.097
32,5.689
