r,ct
1,29.263
2,16.949
3,12.265
4,10.386
5,9.106
6,7.782
7,7.695
8,6.831
9,6.375
10,6.106
11,6.188
12,6.09
13,5.862
14,5.811
15,5.254
16,5.951
17,6.437
18,5.923
19,5.738
20,6.095
21,5.9
22,5.908
23,5.746
24,5.306
25,5.296
26,5.562
27,5.54
28,5.119
29,5.345
30,4.946
31,6.578
32,7.803
