r,ct
1,22.893
2,13.192
3,10.311
4,8.664
5,7.715
6,7.081
7,6.621
8,6.066
9,5.67
10,5.808
11,5.277
12,5.446
13,5.059
14,5.29
15,5.167
16,5.285
17,5.772
18,5.663
19,5.226
20,5.243
21,5.43
22,4.994
23,5.297
24,4.993
25,4.682
26,5.152
27,4.399
28,4.791
29,4.662
30,4.935
31,5.602
32,6.768
