r,ct
3,0.492091
4,0.491253
5,0.490367
6,0.489587
7,0.486686
8,0.48542
9,0.484237
10,0.484504
11,0.484656
12,0.482807
13,0.476655
14,0.455146
15,0.4443
16,0.468011
17,0.352654
18,0.344829
19,0.340508
20,0.30615
21,0.296673
22,0.334371
23,0.281922
24,0.323528
25,0.27004
26,0.25706
27,0.313708
28,0.30725
29,0.30524
30,0.301879
31,0.271939
32,0.292874
33,0.191472
