r,ct
1,41.51
2,22.825
3,13.949
4,11.341
5,9.518
6,8.925
7,7.886
8,7.77
9,7.824
10,7.918
11,7.936
12,7.918
13,7.825
14,7.867
15,7.844
16,9.022
17,10.205
18,9.729
19,10.282
20,10.458
21,10.299
22,10.741
23,10.632
24,10.888
25,10.461
26,10.497
27,10.514
28,10.471
29,10.476
30,10.371
31,12.17
32,13.735
