r,ct
1,19.277
2,11.623
3,7.574
4,7.55
5,7.544
6,7.595
7,7.608
8,8.015
9,7.558
10,7.625
11,7.613
12,7.545
13,7.571
14,7.703
15,7.619
16,8.234
17,8.553
18,9.088
19,9.259
20,9.45
21,9.681
22,10.323
23,10.092
24,10.069
25,10.149
26,10.105
27,10.133
28,10.185
29,10.138
30,10.112
31,11.717
32,12.314
