r,ct
2,0.951463
3,0.95544
4,0.944781
5,0.93353
6,0.919214
7,0.914516
8,0.90042
9,0.88671
10,0.862972
11,0.83331
12,0.820834
13,0.82476
14,0.833621
15,0.79801
16,0.780551
17,0.589948
18,0.50798
19,0.504806
20,0.504008
21,0.505944
22,0.497098
23,0.466607
24,0.471314
25,0.472041
26,0.450938
27,0.467787
28,0.44802
29,0.460894
30,0.457849
31,0.472164
32,0.475576
33,0.321533
