r,ct
1,14.574
2,9.13
3,7.435
4,6.379
5,5.823
6,5.498
7,5.256
8,5.151
9,5.004
10,4.772
11,4.637
12,4.766
13,4.297
14,4.368
15,4.179
16,4.788
17,4.8
18,4.727
19,4.624
20,4.352
21,4.498
22,4.629
23,4.665
24,4.3
25,4.331
26,4.503
27,4.409
28,4.433
29,4.295
30,4.452
31,5.143
32,5.555
