r,ct
2,0.461408083
3,0.587812431
4,0.657635009
5,0.695949666
6,0.73442691
7,0.72805366
8,0.71772229
9,0.734644869
10,0.719333875
11,0.733690728
12,0.730252275
13,0.705097534
14,0.690829889
15,0.696857331
16,0.678550864
17,0.550374525
18,0.447243319
19,0.444941204
20,0.440510585
21,0.438827839
22,0.438719953
23,0.435715435
24,0.435818821
25,0.435427445
26,0.442375034
27,0.440257327
28,0.437263934
29,0.430110687
30,0.426838886
31,0.429047917
32,0.427871826
33,0.310751466
